qual,avg_expr,introns,intronsize,exonsize,avgintronsize
T23B3.2,128.75,1,522,279,522.00
T23B3.6,5.5,4,776,1050,194.00
T23B5.1,6,9,4556,2043,506.22
T23B7.1,31.33,0,0,216,0.00
T23D8.2,5,5,2344,621,468.80
T23D8.3,17,4,1484,1233,371.00
T23D8.4,41.86,4,234,2697,58.50
T23D8.5,4,0,0,312,0.00
T23D8.6,20.67,0,0,384,0.00
T23D8.9,4,9,1875,2436,208.33
T23F1.5,26.5,10,1148,3789,114.80
T23F11.1,12.33,7,1654,1047,236.29
T23F11.3,4.67,6,1758,1101,293.00
T23F11.4,14.33,4,865,951,216.25
T23F2.1,22.75,8,1007,1452,125.88
T23F2.3,106.86,1,48,174,48.00
T23F2.4,5,2,293,234,146.50
T23F2.5,143.75,1,52,174,52.00
T23F4.4,4,8,1898,1395,237.25
T23G11.1,15.67,1,48,507,48.00
T23G11.2,19,3,151,1044,50.33
T23G11.5,4.2,4,3345,732,836.25
T23G11.6,7.25,11,2080,1962,189.09
T23G11.7,4,1,183,1086,183.00
T23G4.5,7,1,809,576,809.00
T23G5.1,38,4,369,2367,92.25
T23G5.2,14.43,10,2366,2232,236.60
T23G5.6,3,3,473,732,157.67
T23G7.1,12.5,10,478,1797,47.80
T23G7.2,8.8,8,3559,1365,444.88
T23G7.3,12.5,3,718,1020,239.33
T23G7.4,7,11,1193,2655,108.45
T23G7.5,16.67,4,356,786,89.00
T23H2.1,7.83,14,750,5544,53.57
T23H2.2,7,7,1986,1173,283.71
T23H2.4,2,7,1453,1506,207.57
T23H2.5,25.4,3,508,606,169.33
T23H4.2,5.5,8,768,1176,96.00
T24A11.1,19.17,7,6622,2817,946.00
T24A11.2,4,3,757,1041,252.33
T24A11.3,5,6,1462,1179,243.67
T24A6.17,71.29,1,48,150,48.00
T24B8.1,764.13,2,146,405,73.00
T24B8.2,9.5,3,236,1236,78.67
T24B8.3,34,3,938,429,312.67
T24B8.4,15.5,8,3802,2745,475.25
T24B8.5,44.5,1,53,240,53.00
T24B8.6,12.5,2,1031,612,515.50
T24C12.3,10,13,5432,1830,417.85
T24C4.1,5.75,5,258,1284,51.60
T24C4.2,6,2,1081,1272,540.50
T24C4.4,19,4,1522,462,380.50
T24C4.6,25.33,6,1960,3027,326.67
T24C4.7,10,7,1842,2397,263.14
T24D1.1,8.5,7,2404,2148,343.43
T24D1.2,11.5,11,2165,2541,196.82
T24D1.3,21,2,98,1050,49.00
T24D1.4,5.67,4,326,1317,81.50
T24D5.5,13.75,7,1088,1227,155.43
T24D8.2,22,6,4847,759,807.83
T24D8.3,17,1,399,309,399.00
T24F1.2,10.14,6,726,1767,121.00
T24F1.3,17,9,3558,1848,395.33
T24F1.5,12,1,51,195,51.00
T24G10.2,8.25,4,675,1248,168.75
T24H10.1,17.5,3,157,927,52.33
T24H10.2,9,2,727,306,363.50
T24H10.3,7,3,206,729,68.67
T24H10.4,13,4,461,1020,115.25
T24H10.6,15.4,1,236,288,236.00
T24H7.1,35.57,3,242,861,80.67
T24H7.2,6.67,6,536,2778,89.33
T25B6.2,8.33,11,1419,2397,129.00
T25B9.8,8.5,2,149,1344,74.50
T25C12.2,6,3,2102,603,700.67
T25D10.2,16,8,2733,696,341.63
T25D10.4,14,4,1749,741,437.25
T25D3.2,6,3,146,933,48.67
T25E12.5,21,2,113,903,56.50
