qual,avg_expr,introns,intronsize,exonsize,avgintronsize
AC3.1,2.75,5,378,1071,75.60
AC3.2,3,11,1719,2850,156.27
AC3.3,66.5,1,84,1278,84.00
AC3.5,9.67,12,1639,3216,136.58
AC3.8,3.67,10,840,1593,84.00
AC7.2,17.83,7,4541,1842,648.71
AH6.5,25,6,303,1494,50.50
B0001.1,39.14,5,2692,735,538.40
B0001.3,7.67,9,477,1785,53.00
B0001.4,11.67,3,509,690,169.67
B0001.5,7,13,1116,3138,85.85
B0001.6,34.17,13,2662,1992,204.77
B0001.7,5,12,697,2196,58.08
B0019.2,6,1,444,702,444.00
B0024.1,87.5,1,127,894,127.00
B0024.10,7.57,4,318,1659,79.50
B0024.11,11,5,237,1734,47.40
B0024.12,10.5,0,0,498,0.00
B0024.13,25.75,5,479,1029,95.80
B0024.14,10,12,1244,2655,103.67
B0024.2,10,1,81,894,81.00
B0024.3,4.4,8,2604,1524,325.50
B0024.4,6.67,4,242,1173,60.50
B0024.9,34.29,2,106,360,53.00
B0025.2,3.5,3,1090,1398,363.33
B0025.3,4.5,4,1030,1011,257.50
B0034.3,23.5,12,7790,3024,649.17
B0035.11,12.43,6,323,1293,53.83
B0035.12,6,10,617,2511,61.70
B0035.13,47.6,4,987,894,246.75
B0035.14,16,6,4097,1206,682.83
B0035.15,12.25,6,320,852,53.33
B0035.2,2,5,259,1014,51.80
B0035.3,8,3,147,612,49.00
B0035.4,25.29,2,127,381,63.50
B0035.5,10,8,804,1569,100.50
B0035.6,9,6,363,2184,60.50
B0041.2,10.8,6,1845,2115,307.50
B0041.3,21.6,2,473,477,236.50
B0041.4,525.25,3,189,1038,63.00
B0041.5,27.33,5,947,1326,189.40
B0041.6,5.6,2,344,381,172.00
B0041.7,17.33,9,1507,4080,167.44
B0198.1,14,5,1110,1080,222.00
B0198.3,7,12,3301,3093,275.08
B0205.10,5.67,3,143,1368,47.67
B0205.3,11,8,1147,1827,143.38
B0205.6,13.71,9,1703,1341,189.22
B0205.7,54.71,7,1133,1083,161.86
B0205.9,11,6,863,1599,143.83
B0207.1,3,8,594,1953,74.25
B0207.10,3,2,374,297,187.00
B0207.4,13.5,5,365,990,73.00
B0207.9,3,3,443,426,147.67
B0213.14,11.5,4,1451,1500,362.75
B0213.2,17.67,1,79,219,79.00
B0213.3,36.4,1,84,198,84.00
B0213.4,4.5,1,71,222,71.00
B0213.5,18.43,1,50,210,50.00
B0213.6,80.43,1,119,228,119.00
B0218.1,24,5,811,1719,162.20
B0218.8,115.33,6,635,927,105.83
B0222.5,5.67,9,1048,1110,116.44
B0222.6,523.14,1,119,852,119.00
B0222.7,36,1,56,885,56.00
B0228.1,5,3,170,591,56.67
B0228.2,6.5,9,1037,5367,115.22
B0228.7,33.2,6,305,858,50.83
B0238.1,12.2,8,583,1638,72.88
B0238.10,5.67,3,449,837,149.67
B0238.11,37,3,147,954,49.00
B0238.12,8.25,3,328,501,109.33
B0240.1,2,10,826,1374,82.60
B0240.2,24.75,18,1945,3744,108.06
B0244.5,15,9,1269,840,141.00
B0244.7,5,19,3443,2592,181.21
B0244.8,63.5,5,697,1725,139.40
B0250.1,688,2,286,783,143.00
B0250.2,6,4,1509,534,377.25
B0250.4,3,12,4414,1443,367.83
B0250.9,5,7,6226,2094,889.43
B0252.4,18.5,3,160,444,53.33
B0261.1,11.33,7,2212,2211,316.00
B0261.2,8.6,31,9178,8094,296.06
B0261.4,29.57,5,282,759,56.40
B0261.5,3.33,1,62,591,62.00
B0261.6,8,3,834,516,278.00
B0261.7,17,5,242,1056,48.40
B0272.1,22,6,890,1335,148.33
B0272.2,4,5,535,642,107.00
B0272.3,45.43,3,268,930,89.33
B0272.4,20.33,5,1035,768,207.00
B0273.2,61,3,1773,1458,591.00
B0280.1,8,5,263,978,52.60
B0280.2,6.5,18,4291,3057,238.39
B0280.3,32.5,3,224,756,74.67
B0280.5,168.2,5,325,1626,65.00
B0280.7,9,5,303,1161,60.60
B0280.8,6.67,6,1610,1188,268.33
B0280.9,22.14,7,606,1290,86.57
B0281.5,26.5,3,259,624,86.33
B0284.3,28,3,990,570,330.00
B0285.3,14,3,620,501,206.67
B0285.4,8.2,6,622,1002,103.67
B0285.5,9,8,1858,1899,232.25
B0285.7,19,7,5578,2346,796.86
B0285.8,6,5,479,954,95.80
B0285.9,12,5,927,948,185.40
B0286.3,24,5,1507,1272,301.40
B0286.4,26.5,7,2133,1335,304.71
B0294.1,28,1,57,435,57.00
B0294.2,22.5,1,51,252,51.00
B0302.1,13,15,2944,3672,196.27
B0302.5,16,4,1130,651,282.50
B0304.2,11,3,159,657,53.00
B0310.4,6,0,0,339,0.00
B0310.5,23,9,2488,1596,276.44
B0334.1,304.83,2,698,420,349.00
B0334.2,4.67,4,695,873,173.75
B0334.4,23.2,3,152,633,50.67
B0334.5,31.4,4,1481,1158,370.25
B0334.6,10,3,2012,1023,670.67
B0336.1,7.5,9,3205,2895,356.11
B0336.10,605.63,1,98,423,98.00
B0336.11,7,8,1043,1545,130.38
B0336.2,114.71,3,263,546,87.67
B0336.3,7.5,6,369,2154,61.50
B0336.4,19.67,6,2104,1272,350.67
B0336.5,27.75,5,573,1005,114.60
B0336.6,43.25,4,1102,1311,275.50
B0336.7,8,4,1018,1449,254.50
B0336.8,35.63,2,108,357,54.00
B0348.3,10.25,13,12424,2490,955.69
B0348.6,11.5,3,142,747,47.33
B0350.1,12.33,3,863,15513,287.67
B0353.1,26,1,483,234,483.00
B0361.3,8.67,19,2601,3669,136.89
B0361.5,29.13,3,1293,1002,431.00
B0361.6,5,6,446,1137,74.33
B0361.7,21.14,6,542,1236,90.33
B0361.8,14.43,11,1892,2160,172.00
B0361.9,17.33,2,212,585,106.00
B0365.1,14,5,243,3300,48.60
B0365.5,5.5,6,2393,1017,398.83
B0365.6,18,2,481,1638,240.50
B0379.1,39.17,5,1988,639,397.60
B0391.5,6,1,48,279,48.00
B0393.1,874.75,3,172,831,57.33
B0393.2,9.33,8,420,1758,52.50
B0393.3,11,4,382,1866,95.50
B0393.6,15.5,7,335,1254,47.86
B0395.2,15,7,2466,1404,352.29
B0395.3,7.14,10,2177,1845,217.70
B0403.4,90.43,3,585,1323,195.00
B0410.2,17,7,2845,1599,406.43
B0412.3,9.33,16,10930,3324,683.13
B0412.4,684,3,1079,267,359.67
B0414.3,80.13,1,161,678,161.00
B0414.5,7.5,5,308,2256,61.60
B0414.7,12.8,14,1494,4257,106.71
B0414.8,12,10,1063,2112,106.30
B0416.5,28.33,4,249,1524,62.25
B0432.10,4,5,862,912,172.40
B0432.2,12,2,563,564,281.50
B0432.3,7.5,3,830,543,276.67
B0432.4,33.5,5,1012,972,202.40
B0432.5,19,5,670,1215,134.00
B0454.9,20,3,624,1047,208.00
B0457.1,12,7,8189,3045,1169.86
B0464.1,76.75,4,301,1596,75.25
B0464.2,17,5,1771,3453,354.20
B0464.3,142.5,2,108,249,54.00
B0464.4,17.67,7,1353,1374,193.29
B0464.6,19.57,5,428,1830,85.60
B0464.7,8.43,7,874,1161,124.86
B0478.1,12,10,1717,1383,171.70
B0478.3,11,2,236,456,118.00
B0491.1,15,4,209,1254,52.25
B0491.5,65.86,5,774,984,154.80
B0491.6,6,5,258,1494,51.60
B0491.7,9.67,2,212,825,106.00
B0495.10,7,11,2053,2262,186.64
B0495.2,6.25,9,476,2160,52.89
B0495.4,7.33,9,1286,1809,142.89
B0495.5,9,7,389,2169,55.57
B0495.6,19.67,1,96,264,96.00
B0495.7,28.29,6,330,2592,55.00
B0495.8,8.5,7,838,942,119.71
B0495.9,15.6,4,216,804,54.00
B0496.3,10.25,25,8386,4677,335.44
B0496.8,8,4,712,1398,178.00
B0507.2,5,6,3108,1467,518.00
B0507.3,13.83,3,531,1299,177.00
B0507.5,2,4,542,645,135.50
B0507.8,7,14,1446,2319,103.29
B0511.1,40,6,1515,1083,252.50
B0511.10,19.13,3,175,1299,58.33
B0511.12,19.5,26,5648,6828,217.23
B0511.5,5,4,784,678,196.00
B0511.7,19.13,5,332,1080,66.40
B0511.8,11,10,2386,3072,238.60
B0511.9,16.67,4,231,618,57.75
B0513.1,17,6,2276,1884,379.33
B0513.3,1216.25,1,156,189,156.00
B0513.4,43,3,974,363,324.67
B0513.5,3,6,3862,1695,643.67
B0546.1,255,1,527,330,527.00
B0547.1,17.4,3,350,1107,116.67
B0554.1,33,1,48,204,48.00
B0554.8,8,1,44,570,44.00
B0563.3,29.29,3,2729,555,909.67
B0563.4,15.57,3,1380,393,460.00
B0564.1,17.86,2,274,723,137.00
BE10.1,5,4,805,975,201.25
BE10.2,16.33,6,2862,1482,477.00
C01A2.2,33.43,5,558,663,111.60
C01A2.3,16.6,2,1164,1059,582.00
C01A2.4,18,6,930,873,155.00
C01A2.5,8,2,1219,903,609.50
C01B10.3,10.6,9,1588,1353,176.44
C01B10.5,170,2,143,189,71.50
C01B10.6,98.25,13,3556,1491,273.54
C01B10.8,8.33,11,979,1971,89.00
C01B10.9,4.5,8,608,1845,76.00
C01B12.1,96.25,2,108,897,54.00
C01B12.2,16,3,1089,1119,363.00
C01B12.7,4,2,1050,399,525.00
C01B7.1,17,7,2395,2790,342.14
C01B7.6,16.5,14,3011,11301,215.07
C01B9.1,6.33,10,1776,4806,177.60
C01C10.1,13,12,2444,1560,203.67
C01C10.3,5,7,1688,1176,241.14
C01C4.1,35,2,115,507,57.50
C01F1.1,8.5,3,2108,1446,702.67
C01F1.3,22,5,1897,1896,379.40
C01F6.1,17,8,622,1539,77.75
C01F6.3,8,6,822,1269,137.00
C01F6.5,26,1,51,672,51.00
C01F6.6,15,2,509,465,254.50
C01F6.9,86.38,2,107,222,53.50
C01G10.4,11.71,3,831,483,277.00
C01G10.6,24.5,1,288,270,288.00
C01G10.7,10.75,2,106,975,53.00
C01G10.8,101.75,3,153,1029,51.00
C01G10.9,13,3,160,1101,53.33
C01G12.3,10,2,206,576,103.00
C01G12.6,35,1,47,240,47.00
C01G5.2,14.83,8,500,2169,62.50
C01G5.6,9.4,12,1824,2571,152.00
C01G6.2,8,2,114,648,57.00
C01G6.3,158.33,3,157,1488,52.33
C01G6.4,25,4,794,513,198.50
C01G6.5,15.57,7,1411,2859,201.57
C01G6.6,11.75,10,1008,2049,100.80
C01G6.7,15,5,348,1623,69.60
C01G6.9,8,6,557,1104,92.83
C01G8.1,18.25,5,259,948,51.80
C01G8.2,7.5,8,2637,1308,329.63
C01G8.3,4.8,7,1507,972,215.29
C01G8.6,11.67,6,312,1035,52.00
C01G8.7,24,7,955,4074,136.43
C01H6.2,2,11,970,2049,88.18
C01H6.4,5.5,6,672,1356,112.00
C01H6.7,14.83,6,810,1911,135.00
C01H6.8,4,4,593,732,148.25
C02A12.4,69.83,2,271,852,135.50
C02A12.7,12,1,86,276,86.00
C02B10.1,39.43,3,557,1260,185.67
C02B10.2,15.67,2,91,372,45.50
C02B10.4,31.6,3,346,636,115.33
C02B10.5,19,5,798,2097,159.60
C02B4.2,13.5,8,2435,1191,304.38
C02B8.3,4,1,61,402,61.00
C02C2.1,8,7,752,1455,107.43
C02C2.3,3,7,1244,1377,177.71
C02C2.5,6,7,555,1080,79.29
C02C2.6,9,2,719,516,359.50
C02C6.3,8,6,2163,837,360.50
C02D5.2,5,5,685,972,137.00
C02D5.3,6.67,5,1965,1140,393.00
C02E11.1,19,6,2217,3222,369.50
C02E7.6,684.25,1,58,213,58.00
C02E7.7,273.5,1,133,201,133.00
C02F12.1,28,7,1773,930,253.29
C02F12.3,14,3,637,393,212.33
C02F12.4,10.5,9,2324,1998,258.22
C02F12.7,23,15,841,3393,56.07
C02F12.8,14,6,852,2064,142.00
C02F4.2,23.67,11,5613,1608,510.27
C02F4.4,40.25,3,503,615,167.67
C02F5.3,6.6,5,1051,1722,210.20
C02F5.4,6.5,5,404,786,80.80
C02F5.5,12,2,128,522,64.00
C02F5.6,8.67,5,421,1260,84.20
C02F5.8,8.67,4,532,735,133.00
C02F5.9,4.5,5,1464,1695,292.80
C02H6.2,3,3,442,1017,147.33
C03A3.1,13,5,520,879,104.00
C03A3.2,45.6,8,1474,1521,184.25
C03A7.10,7,5,881,822,176.20
C03A7.14,11.5,2,95,1338,47.50
C03A7.4,52,1,49,1167,49.00
C03A7.8,29,1,49,1317,49.00
C03B1.12,91.13,3,188,714,62.67
C03B8.1,6,2,125,189,62.50
C03B8.4,22.17,24,2560,6336,106.67
C03C10.1,27.14,7,687,1026,98.14
C03C10.3,79.43,3,234,1146,78.00
C03C10.4,17.2,3,272,735,90.67
C03C10.5,141,1,62,207,62.00
C03C11.1,9.25,2,102,600,51.00
C03C11.2,4.5,7,373,792,53.29
C03D6.1,5.4,4,1222,789,305.50
C03D6.2,11.5,0,0,129,0.00
C03D6.3,8.67,11,726,1758,66.00
C03D6.4,9,6,412,4173,68.67
C03D6.6,5.5,3,149,486,49.67
C03D6.8,66.14,2,105,489,52.50
C03E10.3,3,4,326,1161,81.50
C03E10.4,17.25,7,768,1671,109.71
C03E10.6,34.5,3,154,297,51.33
C03F11.3,19.83,11,1142,1689,103.82
C03G6.15,11,6,279,1494,46.50
C03G6.3,4,5,254,1008,50.80
C03G6.6,8,7,510,936,72.86
C03H5.2,58,8,3257,1248,407.13
C03H5.3,6.75,3,725,864,241.67
C04A11.2,4.5,9,1283,1320,142.56
C04A2.2,10,7,4427,2715,632.43
C04C11.2,12,6,1430,1755,238.33
C04C3.3,22.83,5,2907,1101,581.40
C04D8.1,24.5,3,975,960,325.00
C04E12.2,3,2,101,579,50.50
C04E12.3,3.67,5,373,666,74.60
C04E12.4,2,7,1685,1164,240.71
C04E6.11,3.5,12,617,2991,51.42
C04E6.6,4,7,528,1557,75.43
C04E6.7,4,3,809,726,269.67
C04E7.2,8,11,2519,1605,229.00
C04F1.1,9.75,7,1971,927,281.57
C04F1.2,5.17,9,618,1791,68.67
C04F1.3,22.67,8,7338,1359,917.25
C04F12.1,12,9,1824,2835,202.67
C04F12.10,40.86,4,191,1329,47.75
C04F12.4,736,2,441,408,220.50
C04F12.5,9.33,1,49,381,49.00
C04F12.8,7,3,1149,819,383.00
C04F12.9,8,3,170,420,56.67
C04F5.1,8.67,5,3677,1944,735.40
C04F5.7,6.67,5,1061,1521,212.20
C04F5.8,28.38,3,1142,840,380.67
C04F6.3,310.33,3,370,1854,123.33
C04F6.4,27.14,5,970,1836,194.00
C04F6.5,30.5,13,3718,2331,286.00
C04G2.4,327,0,0,384,0.00
C04G2.6,6.67,13,6100,3090,469.23
C04G2.8,67,1,51,594,51.00
C04G2.9,17,2,100,1020,50.00
C04G6.3,7,15,2977,4230,198.47
C04G6.5,25.75,1,61,180,61.00
C05A9.1,5.5,15,974,3852,64.93
C05A9.2,15,3,1207,600,402.33
C05B5.4,7,4,1283,948,320.75
C05B5.6,20.75,6,2880,1779,480.00
C05C10.2,11.57,7,3618,4656,516.86
C05C10.3,18,4,784,1566,196.00
C05C10.4,73.2,9,1278,1242,142.00
C05C10.5,24,3,155,639,51.67
C05C8.1,6.5,8,4122,1287,515.25
C05C8.2,4,3,313,1113,104.33
C05C8.4,15.5,7,1002,3321,143.14
C05C8.5,8.67,6,304,1785,50.67
C05C8.6,14.17,4,370,1746,92.50
C05C8.7,38.71,5,2198,1404,439.60
C05D10.1,24,4,783,1485,195.75
C05D10.4,7,7,900,1116,128.57
C05D11.1,16,5,253,2988,50.60
C05D11.10,27.13,2,161,483,80.50
C05D11.2,18.5,9,620,2502,68.89
C05D11.3,21.75,2,175,627,87.50
C05D11.5,5.33,4,608,789,152.00
C05D11.7,18.67,6,936,1788,156.00
C05D11.9,8,3,317,879,105.67
C05D2.4,10,6,782,1545,130.33
C05D2.6,66.43,13,2313,3027,177.92
C05D2.7,36.6,2,769,732,384.50
C05D9.1,8,5,1992,1419,398.40
C05D9.2,8.8,6,1579,891,263.17
C05D9.5,16,3,1196,639,398.67
C05D9.7,49,5,1311,750,262.20
C05D9.8,17.33,4,679,474,169.75
C05E11.1,19.71,4,353,897,88.25
C05E11.3,14.5,5,2185,753,437.00
C05E11.5,11.2,9,2125,1779,236.11
C05E11.8,13,2,645,258,322.50
C05E4.10,2,5,782,1080,156.40
C05G5.2,10,9,969,2058,107.67
C05G5.4,54.43,5,826,969,165.20
C05H8.1,2,5,804,1074,160.80
C06A1.1,25.29,4,636,2430,159.00
C06A1.2,5,6,2159,807,359.83
C06A1.5,68,0,0,414,0.00
C06A5.3,3.8,14,3312,3288,236.57
C06A5.7,13,7,3142,975,448.86
C06A5.9,5.33,8,385,1227,48.13
C06A6.3,9,5,848,834,169.60
C06A6.4,17.67,8,1539,1296,192.38
C06A6.5,30.8,4,692,1170,173.00
C06A8.1,20.14,6,1772,1848,295.33
C06A8.2,15.5,8,411,1419,51.38
C06A8.3,307.5,1,161,456,161.00
C06A8.4,5,1,51,543,51.00
C06A8.5,16.33,4,195,1440,48.75
C06A8.6,16,4,209,1050,52.25
C06B3.4,12.67,3,541,945,180.33
C06B3.6,94.29,2,102,663,51.00
C06B3.7,2,3,774,1005,258.00
C06B8.7,35,24,3428,9111,142.83
C06B8.8,5.33,1,274,213,274.00
C06C3.4,9,5,870,654,174.00
C06C6.7,2,5,604,2808,120.80
C06E1.1,41.25,2,101,486,50.50
C06E1.2,4,0,0,153,0.00
C06E1.3,4,7,836,1152,119.43
C06E1.4,8,12,1867,2952,155.58
C06E2.5,9.5,3,1235,546,411.67
C06E4.2,34.5,1,548,249,548.00
C06E7.1,17.33,5,705,1215,141.00
C06E7.3,31.33,5,803,1215,160.60
C06E7.4,49,5,1282,1008,256.40
C06E7.5,14.5,3,837,687,279.00
C06E8.2,3,2,106,561,53.00
C06G1.1,11,8,2644,1239,330.50
C06G1.3,16,0,0,156,0.00
C06G1.4,36,5,839,1926,167.80
C06G1.5,17,5,990,843,198.00
C06G3.11,44,2,399,273,199.50
C06G3.12,14.5,1,1385,384,1385.00
C06G3.3,36.5,1,57,195,57.00
