Ensembl ID,Entrez ID,Control Gene Expression,Cancer Gene Expression
ENSG00000016490,1179,2.034482759,4.666666667
ENSG00000016602,22802,4794.62069,2990.25
ENSG00000153923,9629,6.620689655,25.08333333
ENSG00000097033,51100,3584.965517,3947.888889
ENSG00000153936,9653,986.3793103,1315.138889
ENSG00000143013,8543,2762.310345,2956.305556
ENSG00000065243,5586,1959.827586,2416.111111
ENSG00000183347,163351,24.68965517,303.4722222
ENSG00000197147,23507,487.6551724,808.0555556
ENSG00000171488,84230,708.137931,431.5277778
ENSG00000171492,55144,475.0344828,731.1111111
ENSG00000162664,284695,988.7241379,1274.611111
ENSG00000097046,8317,330.3793103,678.9444444
ENSG00000137948,676,9.448275862,92.16666667
ENSG00000172031,253152,35.48275862,141.3888889
ENSG00000189195,23285,27.51724138,42.72222222
ENSG00000203910,388649,0.172413793,0.027777778
ENSG00000122484,79871,377.2758621,490.9444444
ENSG00000122406,6125,24743.82759,25396.30556
ENSG00000206680,6083,0,0
ENSG00000143033,22823,1107.103448,1518.305556
ENSG00000122483,343099,314.8275862,428.3611111
ENSG00000117505,1810,1282.965517,1636.722222
ENSG00000137942,54874,1390.586207,2666
ENSG00000117528,5825,2031.103448,3311.194444
ENSG00000143036,126969,1034.344828,1685.25
ENSG00000152078,148534,506.0344828,295.8611111
ENSG00000271092,100527978,0.24137931,0.222222222
ENSG00000122481,25950,111.2068966,165.7777778
ENSG00000117569,58155,988.1034483,1008.916667
ENSG00000162627,51375,898.0344828,1119.972222
ENSG00000117600,9890,526.4482759,59.02777778
ENSG00000099260,54873,1079.206897,875.5277778
ENSG00000162688,178,1109.62069,1313.166667
ENSG00000117620,23443,1199.517241,1326.861111
ENSG00000156875,64645,1704.482759,1909.027778
ENSG00000122435,54482,706.9655172,978.4444444
ENSG00000137996,8634,955.4827586,1180.722222
ENSG00000079335,8556,466.7241379,380.6666667
ENSG00000181656,54112,3.655172414,18.25
ENSG00000162692,7412,2470.827586,762.6944444
ENSG00000162695,148867,1568.551724,1730.638889
ENSG00000170989,1901,1364.034483,310.1111111
ENSG00000185946,55599,661.6206897,774.4444444
ENSG00000240038,280,546.5172414,371.4722222
ENSG00000243480,279,0.24137931,0.277777778
ENSG00000237763,276,0.24137931,0.027777778
ENSG00000198890,55170,585.4137931,589.3611111
ENSG00000162631,22854,166.4137931,167
ENSG00000186086,653149,2.793103448,28.61111111
ENSG00000162636,284611,1672.827586,1011.75
ENSG00000134186,55119,4088.689655,4053.638889
ENSG00000143107,163479,1.75862069,8.055555556
ENSG00000116266,6814,1765.793103,1963.583333
ENSG00000121957,29899,370.8965517,829.4722222
ENSG00000215717,56900,1731.586207,1717.944444
ENSG00000116299,57535,187.7931034,388.3611111
ENSG00000031698,6301,3335.034483,3236.027778
ENSG00000143126,1952,602.7931034,1247.722222
ENSG00000143028,284612,88.5862069,14.11111111
ENSG00000162650,127002,224.6896552,340.7222222
ENSG00000174151,284613,402.7586207,427.0833333
ENSG00000156097,83873,0.655172414,1.416666667
ENSG00000065135,2773,2237.37931,3055.611111
ENSG00000116337,271,1262.724138,1420.277778
ENSG00000168765,2948,734.5172414,1979.972222
ENSG00000213366,2946,1940.689655,4021.444444
ENSG00000134184,2944,1535.965517,6491.666667
ENSG00000134201,2949,419.5517241,58.02777778
ENSG00000184371,1435,1856.206897,629.3611111
ENSG00000168710,10768,3962.517241,4401.944444
ENSG00000143093,85369,184.4827586,193.6944444
ENSG00000186150,164153,1.310344828,2.111111111
ENSG00000197106,388662,10.13793103,6.361111111
ENSG00000116396,3749,143.5172414,106.4722222
ENSG00000162775,64783,309.1034483,319.9166667
ENSG00000143125,84432,57.06896552,6.638888889
ENSG00000143119,963,2137.241379,768.1666667
ENSG00000134255,10390,1163.827586,1349.416667
ENSG00000064886,1117,578.5172414,61.94444444
ENSG00000134216,27159,0.896551724,4.222222222
ENSG00000173947,128344,320.6551724,267.5833333
ENSG00000116459,515,3785.206897,4449.611111
ENSG00000143110,128346,579.4827586,218.9166667
ENSG00000116473,5906,3530.931034,1985.527778
ENSG00000064703,11218,470.3448276,647.4722222
ENSG00000143079,55917,1081.172414,1295.916667
ENSG00000134245,7482,339.5517241,106.2222222
ENSG00000116489,829,4743.482759,6016.527778
ENSG00000155363,4343,2114.655172,2335.916667
ENSG00000184599,284467,1.586206897,2.944444444
ENSG00000198799,9860,492.4482759,571.5
ENSG00000081026,260425,452.6551724,443.6944444
ENSG00000118655,64858,189.6206897,290.3888889
ENSG00000163349,204851,1986.37931,1743.111111
ENSG00000116774,56944,2375.862069,324.8055556
ENSG00000198765,6847,0.206896552,0.305555556
ENSG00000134200,7252,0,0
ENSG00000173218,81839,731,944.2777778
ENSG00000163393,55356,177.5517241,229.9444444
ENSG00000173212,126868,40.37931034,51.94444444
ENSG00000163399,476,9693.241379,10612.41667
ENSG00000211543,100302117,0,0
ENSG00000116824,914,872.1034483,408.7777778
ENSG00000134247,5738,2546.62069,2397.805556
ENSG00000134256,9398,126.5172414,79
ENSG00000116830,8458,444.6551724,864.9444444
ENSG00000198162,10905,3062.37931,3147.888889
ENSG00000183508,54855,1632.310345,466.2777778
ENSG00000065183,10885,763.9310345,1246.527778
ENSG00000116882,51179,3.448275862,2.944444444
ENSG00000203859,3284,1.655172414,0.722222222
ENSG00000203857,3283,12.34482759,25.27777778
ENSG00000092621,26227,1220.724138,1526.388889
ENSG00000188610,653820,40.34482759,119.6944444
ENSG00000270231,728841,0,0
ENSG00000269713,400818,0,0
ENSG00000162825,100288142,12.03448276,14.25
ENSG00000265808,9554,0,0
ENSG00000264343,388677,0,0
ENSG00000271425,100132406,0,0
ENSG00000168509,148738,0.344827586,0.944444444
ENSG00000265972,10628,0,0
ENSG00000271601,128077,0,0
ENSG00000265241,9939,0,0
ENSG00000131779,8799,658.3103448,882.25
ENSG00000143127,8515,191.6896552,90.02777778
ENSG00000198483,148741,260,176.2777778
ENSG00000131788,10401,1488.172414,1861.861111
ENSG00000265491,27246,0,0
ENSG00000174827,5174,5.172413793,8.527777778
ENSG00000268043,149013,0,0
ENSG00000131778,9557,927.0344828,1268.194444
ENSG00000116128,607,697.2413793,923.1666667
ENSG00000121634,2703,0.068965517,0
ENSG00000188092,51463,48.20689655,71.41666667
ENSG00000266338,284565,0,0
ENSG00000271567,730262,0,0
ENSG00000263353,653505,0,0
ENSG00000150337,2209,137.3448276,112.3055556
ENSG00000270882,8370,0,0
ENSG00000203811,126961,1.793103448,6.361111111
ENSG00000184260,8338,31.48275862,55.86111111
ENSG00000178096,51027,196.0689655,393.9444444
ENSG00000136631,11311,1049.862069,1450.833333
ENSG00000023902,51177,1964.448276,736.6944444
ENSG00000118298,23632,5.551724138,9.472222222
ENSG00000118292,79630,459.5862069,269.9722222
ENSG00000159208,148523,77.82758621,132.9444444
ENSG00000266472,54460,0,0
ENSG00000117360,9129,1747,2264.805556
ENSG00000163125,23248,1537.310345,1722.305556
ENSG00000143374,80222,759.1724138,1305.083333
ENSG00000143369,1893,1177.37931,616.7777778
ENSG00000143382,54507,1538.482759,482.3055556
ENSG00000143379,9869,1366.137931,2012.555556
ENSG00000143412,8416,420.137931,779
ENSG00000143363,58497,693,978.6666667
ENSG00000163141,149428,675.3793103,682.4722222
ENSG00000143443,54964,119.862069,126.9722222
ENSG00000213190,10962,202.0344828,811.9722222
ENSG00000143458,126626,1045.551724,853.5555556
ENSG00000163154,79626,137.5172414,54.91666667
ENSG00000163156,79005,550.2068966,849.2777778
ENSG00000143398,8394,1755.965517,2003
ENSG00000159352,5710,2619.413793,4015
ENSG00000143373,57592,1070.137931,1390.333333
ENSG00000159377,5692,3809.827586,5789.666667
ENSG00000143375,57530,1956.482759,2907.361111
ENSG00000143367,7286,1092.586207,1978.222222
ENSG00000143376,81609,1381.965517,1422.611111
ENSG00000178796,284485,0.034482759,0.055555556
ENSG00000143450,51686,35.82758621,47.36111111
ENSG00000186207,254910,0.275862069,0.388888889
