MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:99257,130.67,13.14,9.63
MGI:98352,15.21,18.06,0.88
MGI:1913335;MGI:1913335,120.6,16.83,7.54
MGI:97051,31.97,19.98,1.8
MGI:1913670,70.05,10.84,5.93
MGI:88261,99.87,28.8,4.65
MGI:1914416,20.66,10.13,1.84
MGI:105093,147.89,11.85,11.73
MGI:95305,17.44,10.25,1.54
MGI:99529,NA,12.45,NA
MGI:1915246,44.84,8.48,4.57
MGI:1861457;MGI:3040680,33.65,36.18,1.42
MGI:104864,53.95,21.82,2.91
MGI:105053;MGI:105053;MGI:105053,NA,17.8,NA
MGI:1914780;MGI:1914780,74.1,7.45,8.37
MGI:98342;MGI:98347,135.62,13.85,9.63
MGI:891995,11.6,16.5,0.73
MGI:1353429,46.25,14.74,3.15
MGI:1914933;MGI:1914933,19.89,22.53,1.09
MGI:1920040,8.72,12.24,0.69
MGI:1914247;MGI:1914247;MGI:1914247,66.77,8.84,6.6
MGI:894653,72.72,12.73,5.48
MGI:1913538,29.58,15.7,1.99
MGI:106636,174,17.22,10.71
MGI:1858216,16.03,18.68,0.94
MGI:1100520,NA,9.43,NA
MGI:1913695;MGI:1913695,146.03,12.73,11.02
MGI:103078,37.72,12.96,2.81
MGI:2442631;MGI:2442631,35.42,4.76,5.83
MGI:2448526,26.61,13.18,1.96
MGI:1913963,39.94,11.47,3.24
MGI:1859293,75.08,18.35,4.45
MGI:108415,24.8,8.53,2.52
MGI:1096366;MGI:1096366,50.53,10.01,4.53
MGI:1927593;MGI:1927593;MGI:1927593,59.22,9.04,5.77
MGI:96622;MGI:96622,25.05,9.23,2.39
MGI:97298,35.69,9.16,3.43
MGI:96009,27.59,15.93,2.17
MGI:1343463;MGI:1343463,55.68,10.27,4.9
MGI:109555,97.25,10.81,8.24
MGI:1316648,63.05,8.51,6.42
MGI:1321389,24.19,9.44,2.27
MGI:1915201,132.07,8.48,13.61
MGI:1917436,49.67,15.05,3.37
MGI:98341;MGI:98341;MGI:98341,115.83,10.18,10.32
MGI:1277956,26.06,6.99,3.11
MGI:97463;MGI:97463,NA,NA,NA
MGI:1355274;MGI:1355274,38.87,11.32,3.19
MGI:2386251,222.77,13.12,16.44
MGI:1306785;MGI:1306785,68.19,8.07,7.33
MGI:98886,114.63,11.38,9.35
MGI:894313;MGI:894313,23.27,9.59,2.16
MGI:109531,68.96,28.42,3.23
MGI:1913874,23.61,15.21,1.58
MGI:1346051,20.22,12.86,1.52
MGI:106054,67.36,10.84,5.7
MGI:1913444,39.75,9.88,3.61
MGI:88543;MGI:88543,18.19,6.69,2.25
MGI:1316728;MGI:1316728,20.09,20.68,1.11
MGI:1915082,25.42,6.89,3.09
MGI:1201670;MGI:1201670;MGI:1201670,NA,NA,NA
MGI:103040;MGI:103040;MGI:103040;MGI:103040,33.6,12.88,2.51
MGI:1860374,34.29,8.73,3.42
MGI:1336882,58.62,15.26,3.9
MGI:88548,65.49,13.45,4.75
MGI:1915173,23.89,8.96,2.33
MGI:1194912;MGI:1194912,36.39,18.27,2.17
MGI:105992,17.2,16.17,1.27
MGI:1860611,65.15,9.5,6.11
MGI:1913731,579.26,14.6,39.85
MGI:1913663,41.59,9.49,3.91
MGI:1095409,NA,6.78,NA
MGI:1353433,NA,NA,NA
MGI:2442040;MGI:2442040,42.97,9.5,4.01
MGI:1934754;MGI:1934754,73.14,15.78,4.77
MGI:1860078;MGI:1860078,20.54,12.71,1.55
MGI:2146818;MGI:2146818,7.27,9.24,0.7
MGI:98858;MGI:98858,124.63,14.15,8.73
MGI:1933181,225.92,9.74,20.73
MGI:1858222;MGI:1858222,NA,9.33,NA
MGI:98884,NA,7.03,4.57
MGI:1915831;MGI:1915831,10.74,18.28,0.64
MGI:87870,12.43,21.11,0.75
MGI:1928939;MGI:1928940,46.78,11.79,3.72
MGI:1919331;MGI:1919331;MGI:1919331;MGI:1919331,14.18,8.35,1.46
MGI:1928482;MGI:1928482;MGI:1928482;MGI:1928482,29.1,8.81,2.88
