MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:1914357,1.72,5.64,0.24
MGI:1913322;MGI:1913322,9.3,10.26,0.82
MGI:1918976,NA,4.94,NA
MGI:1196608;MGI:1196608;MGI:1196608,9.82,7.81,1.08
MGI:1920353;MGI:1920353,NA,NA,NA
MGI:1913435;MGI:1913435;MGI:1913435,8.69,10.76,0.74
MGI:1919670,8.44,7.65,0.93
MGI:1914505,2.38,5.65,0.34
MGI:3505790,5.2,5.33,0.78
MGI:1098643,7.48,7.72,0.82
MGI:1913841,3.99,2.64,1.12
MGI:1313277;MGI:1313277,7.43,5.43,1.09
MGI:1916806;MGI:1916806,19.45,9.81,1.86
MGI:2136459,18.8,15.24,1.25
MGI:1926143;MGI:1926143;MGI:1926143;MGI:1926143;MGI:1926143,NA,13.7,NA
MGI:2676308;MGI:2676308,NA,5.05,NA
MGI:2153063,24.32,8.62,2.48
MGI:2446078,4.01,5.89,0.54
MGI:1917343;MGI:1917343,14.18,9.06,1.37
MGI:1330805;MGI:1330805,4.51,3.32,1.02
MGI:2139354,7.2,13.63,0.52
MGI:1916520;MGI:1916520,9,7.25,1.04
MGI:1858435,4.24,17,0.27
MGI:102722,9.59,10.6,0.82
MGI:103038;MGI:103038;MGI:103038;MGI:103038,13.63,12.75,1.03
MGI:1923784;MGI:1923784;MGI:1923784,12.66,10.32,1.11
MGI:1915101,6.81,6.37,1.63
MGI:2444554;MGI:2444554;MGI:2444554,10.86,16.52,0.69
MGI:1338799,7.97,11.7,0.64
MGI:1914487,26.77,9.73,2.45
MGI:1277953;MGI:1277953;MGI:1277953;MGI:1277953,3.51,10.01,0.32
MGI:1923816,NA,NA,NA
MGI:2384853,10.01,11.24,0.76
MGI:2150152,24.95,8.41,2.56
MGI:1915985;MGI:1915985,38.62,7.97,4.14
MGI:2442978;MGI:2442978;MGI:2442978,4.63,11.01,0.39
MGI:1921570,5.68,8.53,0.58
MGI:2447810,11.69,8.48,1.6
MGI:99878,19.01,8.39,1.95
MGI:1289171;MGI:1289171,12.37,4.73,2.05
MGI:1924730;MGI:1924730;MGI:1924730,9.45,11.12,0.78
MGI:1919737;MGI:1919737,NA,NA,NA
MGI:1921357;MGI:1921357,7.55,4.47,1.32
MGI:99495;MGI:99495,NA,NA,NA
MGI:1920393;MGI:1920393;MGI:1920393,3.59,4.74,0.59
MGI:97598;MGI:97598;MGI:97598;MGI:97598;MGI:97598;MGI:97598,18.45,7.21,2.16
MGI:1933159;MGI:1933159,10.04,5.47,1.47
,NA,NA,NA
MGI:1919207;MGI:1919207,NA,11.4,NA
MGI:1915384,8.49,6.8,2.07
MGI:1921772;MGI:1921772,17.81,5.8,2.48
MGI:98737,NA,NA,NA
MGI:1351602;MGI:1351602;MGI:1351602;MGI:1351602,6.03,5.87,0.83
MGI:2153045;MGI:2153045;MGI:2153045;MGI:2153045,8.01,9.82,0.73
MGI:1913128,NA,3.33,NA
MGI:96921;MGI:96921;MGI:96921,NA,NA,NA
MGI:1915678;MGI:1915678,9.46,16.58,0.6
MGI:1355295,6.78,18.69,0.52
MGI:1306795;MGI:1934601;MGI:1306795;MGI:1306795;MGI:1306795;MGI:1306795;MGI:1306795,19.15,7.36,2.19
MGI:1919790,8.19,9.19,0.78
,NA,NA,NA
MGI:1913523;MGI:1913523;MGI:1913523,4.5,13.77,0.32
MGI:1920988;MGI:1920988;MGI:1920988,17.52,9.67,1.62
MGI:1354727;MGI:1354727;MGI:1354727;MGI:1354727,20.84,8.28,2.17
MGI:109242;MGI:109242;MGI:109242;MGI:109242;MGI:109242;MGI:109242,21.22,3.22,4.96
MGI:2667176,3.51,5.99,0.38
MGI:1915038;MGI:1915038,31.31,6.51,3.95
MGI:107573,NA,NA,NA
MGI:1202301;MGI:1202301,6.73,8.49,0.69
MGI:1914446,5.2,3.59,1.1
MGI:1914862,28.38,9.83,2.6
,NA,NA,NA
MGI:109596;MGI:109596;MGI:109596;MGI:109596,NA,NA,NA
MGI:2388479;MGI:2388479,NA,12.22,NA
MGI:2684988,NA,4.83,NA
MGI:1934601;MGI:1934601,1.94,9.58,0.18
MGI:99418;MGI:99418;MGI:99418;MGI:99418,NA,NA,NA
MGI:1858732,16.18,9.94,1.57
MGI:1919824;MGI:1919824;MGI:1919824,22.79,13.09,1.68
MGI:1339656;MGI:1339656;MGI:1339656,4.58,3.53,0.98
MGI:2142048,18.06,8.91,1.77
MGI:1339968,NA,6.11,NA
MGI:1353574;MGI:1353574,16.96,6.46,2.19
MGI:1333763;MGI:1333763,38.09,12.29,3.08
MGI:1915760,24.27,23.4,1.43
MGI:1347359;MGI:1347359,20.11,10.08,1.8
MGI:1278330,5.24,7.01,0.63
MGI:109419;MGI:109419,8.26,22.53,0.43
MGI:96624,24.26,21.08,1.32
MGI:104517,5.04,14.92,0.34
MGI:1921375;MGI:1921375;MGI:1921375,4.75,9.14,0.46
MGI:103097;MGI:103097;MGI:103097,21.44,20.37,1.19
MGI:1914007,3.01,5.56,0.57
,10.63,4.33,2.41
MGI:2147092;MGI:2147092;MGI:2147092,12.79,7.91,1.38
MGI:2139135;MGI:2139135,18.2,11.78,1.45
MGI:1914978,8.91,5.36,1.32
MGI:1202717;MGI:109284;MGI:109284,17.73,12.69,1.34
MGI:1915291,14.65,5.17,2.24
MGI:1918025;MGI:1918025;MGI:1918025;MGI:1918025,13.46,7.26,1.55
MGI:1347044,6.58,6.6,0.82
MGI:1352480;MGI:1352480;MGI:1352480,93.32,13.56,6.77
MGI:88075;MGI:88075,15.46,39.78,0.76
MGI:1196398,11.97,3.8,2.41
MGI:107701,7.31,16.72,0.46
MGI:107927;MGI:107927,5.54,9.11,0.62
MGI:1917810;MGI:1917810,3.33,7.51,0.37
MGI:108426;MGI:108426,5.7,10.45,0.49
MGI:2442308,NA,5.63,NA
MGI:2138299,3.1,4.08,0.58
MGI:2384812;MGI:2384812;MGI:2384812,15.75,3.72,3.22
MGI:2142037,7.7,8.7,0.79
MGI:1914664;MGI:1914664,11.51,14.82,0.78
MGI:1096376;MGI:1096376,14.68,14.58,1.01
MGI:1916951,15.42,5.52,2.24
MGI:1352755,NA,5.14,NA
MGI:1097668,10.58,9.79,0.97
MGI:1341822,NA,NA,NA
MGI:3580376;MGI:3580376,4.02,3.48,0.83
MGI:1923578,20.85,6.19,2.75
MGI:1920407;MGI:1920407;MGI:1920407,1.56,12.78,0.12
MGI:1347078;MGI:1347078;MGI:1347078,36.89,12.34,3.23
MGI:2447364,43.73,9.52,4.1
MGI:1915508,19.89,5.21,3.65
MGI:95872;MGI:95872,26.84,17.59,1.63
MGI:1916987,5.57,7.37,0.64
MGI:2140466,2.78,8.17,0.29
MGI:2449121;MGI:2449121;MGI:2449121,8.34,11.61,0.67
MGI:2139793;MGI:2139793,9.64,7.49,1.09
MGI:96396;MGI:96396;MGI:96396,49.68,3.03,12.87
MGI:1341859;MGI:1341859,3.88,8.55,0.41
MGI:109233,15.78,7.29,1.82
MGI:1098622;MGI:1098622;MGI:1098622,9.93,5.41,1.66
MGI:1889364,16.79,4.75,2.77
MGI:3603816,4.2,5.22,0.64
MGI:1920402,5.09,6.04,0.68
MGI:95775;MGI:95775,3.55,15.38,0.24
MGI:1919786;MGI:3615484;MGI:1922546;MGI:1922546;MGI:1922546,9.32,3.29,2.65
MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822;MGI:1338822,2.83,10.87,0.23
MGI:1918180,7.81,5.48,1.14
MGI:2445020;MGI:2445020;MGI:2445020,9.29,8,0.99
MGI:97615;MGI:97615,13.84,10.46,1.2
MGI:1289164;MGI:1289164;MGI:1289164,NA,14.5,NA
MGI:109568;MGI:109568,4.59,7.7,0.5
MGI:1925764;MGI:1925764;MGI:1925764;MGI:1925764,13.11,15.04,0.88
MGI:1333889;MGI:1333889,21.8,12.7,2.75
MGI:1917052;MGI:1917052,6.1,5.45,0.89
,NA,NA,NA
MGI:2441932;MGI:2441932;MGI:2441932,NA,11.31,NA
MGI:2443011;MGI:2443011;MGI:2443011,40.82,5.79,5.68
MGI:1922462;MGI:1922462;MGI:1922462;MGI:1922462,19.14,8.33,1.98
MGI:1914053,15.71,6.45,2.01
MGI:1934029;MGI:1934029,13.07,14.92,0.89
MGI:1349394;MGI:1349394;MGI:1349394,52.76,13.54,3.81
MGI:2387629,20.89,9.27,1.99
MGI:1859270;MGI:1859270;MGI:1859270;MGI:1859270,NA,17.77,NA
MGI:2138937;MGI:2138937;MGI:2138937,11.16,4.53,1.92
MGI:1913732,6.08,11.83,0.48
MGI:1927155,24.52,23.72,1.25
MGI:1337080;MGI:1337080,27.43,12.33,2.12
MGI:1913430;MGI:1913430,30.57,10.94,2.57
MGI:104676;MGI:104676,10.75,16.37,0.69
MGI:1337124,NA,11.04,NA
MGI:2442163,37.1,17.43,2.27
MGI:95294,7.81,8.32,0.81
MGI:2140175;MGI:2140175,10.34,6.08,1.38
MGI:1921344,27.6,4.77,4.54
MGI:1916559,52.38,8,5.59
MGI:2445217,4.6,5.91,0.63
MGI:1919515,9.31,12.3,0.72
MGI:1329041;MGI:1329041,3.61,9.35,0.37
MGI:104557,7.71,8.23,0.8
MGI:2178217,6.45,11.16,0.54
MGI:2444098;MGI:2444098,6.87,18.27,0.41
MGI:1915296,8.93,4.22,1.64
MGI:1921506;MGI:1921506;MGI:1921506,8.91,11.59,0.72
MGI:1921642;MGI:1921642,11.26,6.81,1.42
MGI:1924284;MGI:1924284,22.59,8.42,2.13
MGI:105079;MGI:105080,23.15,7.36,2.65
MGI:1921450;MGI:1921450;MGI:1921450,21.47,3.4,4.41
MGI:1917806,9.88,6.09,1.45
MGI:96676,6.14,2.6,1.75
MGI:97604;MGI:97604,NA,NA,NA
MGI:1335091;MGI:1335091,9.02,4.39,1.6
MGI:2384899,16.94,6.76,3.02
MGI:1916953;MGI:1916953,3.23,7.61,0.36
MGI:109583,10.85,11.85,0.86
MGI:1328337;MGI:1328337;MGI:1328337;MGI:1328337,5.13,3.35,1.16
MGI:1919880,5.5,8.2,0.58
MGI:2139207;MGI:2139207;MGI:2139207,10.7,11.29,0.88
MGI:98446;MGI:98446,22.93,3.7,4.75
MGI:1917056;MGI:1917056;MGI:1917056,12.41,17.14,0.77
MGI:88460,71.79,39.09,2.03
MGI:107403;MGI:107403;MGI:1098551;MGI:1098551,18.41,2.57,5.46
MGI:108091;MGI:108091;MGI:108091,22.98,5.99,3.11
MGI:1930089,14.89,13,1.11
MGI:1345669;MGI:1345669;MGI:1345669,8.34,11.07,0.7
MGI:891999;MGI:891999;MGI:891999;MGI:891999;MGI:891999,9.07,6.99,1.09
MGI:1201690;MGI:1201690,17.07,10.07,1.53
MGI:2442463,NA,NA,NA
MGI:1918995;MGI:1918995,6.71,13.44,0.49
MGI:1927168,9.76,4.59,1.66
MGI:2146220,3.47,13.19,0.26
MGI:1277143,6.51,9.1,0.63
MGI:1915764,7.55,11.44,0.61
,NA,NA,NA
MGI:109548,26.1,19.31,1.5
MGI:3712326,23.89,9.47,2.24
MGI:2138993,20.76,8.97,1.84
MGI:1916177,12.82,6.65,1.67
MGI:1926263,5.69,18.29,0.28
MGI:1918175,2.51,4.02,0.48
MGI:1918963,5.95,5.37,0.88
MGI:2442558,12.9,19.74,0.73
MGI:1916185,NA,NA,NA
MGI:109447,16.11,6.34,2.08
MGI:2444236;MGI:2444236;MGI:2444236;MGI:2444236,2.89,5.42,0.55
MGI:1346862;MGI:1346862;MGI:1346862;MGI:1346862;MGI:1346863;MGI:1346863;MGI:1346863;MGI:1346863;MGI:1346863,6.24,9.37,0.59
MGI:1927073;MGI:1927073,43.42,13.11,3.21
MGI:1914617,10.63,4.05,2.02
MGI:1920136,6.94,4.38,1.23
MGI:1915549;MGI:1915549,10.08,15.83,0.7
MGI:1918007,5.54,22.72,0.29
MGI:1313271;MGI:1313271,15.8,12.13,1.23
MGI:2443554,2.46,9.5,0.23
MGI:97312;MGI:97312;MGI:97312;MGI:97312;MGI:97312,31.33,8.56,3.18
MGI:2444576;MGI:2444576;MGI:2444576;MGI:2444576,6.35,6.14,0.85
MGI:2384568;MGI:2384568,12.31,10.06,1.1
MGI:1926790,26.55,8.52,2.7
MGI:1916476,3.19,4.06,0.61
MGI:1916340,9.23,14.93,0.71
MGI:106250,5.36,21.06,0.3
MGI:97239;MGI:97239,4.83,11.6,0.39
MGI:2153608,NA,11.04,NA
MGI:891964;MGI:891964;MGI:891964,4.75,7.51,0.53
MGI:1340806;MGI:1340806,NA,NA,NA
MGI:1338829,6.07,8.32,0.83
MGI:1337995;MGI:1337995;MGI:1337995,29.87,7.9,3.22
MGI:1924809,4.69,17.1,0.29
MGI:2135601,13.13,6.05,1.76
MGI:1917747;MGI:1917747;MGI:1917747;MGI:1917747,8.89,6.21,1.17
MGI:1929278,50.18,15.22,3.35
MGI:2447768,9.35,5.87,1.29
MGI:1859610,4.18,8.84,0.45
MGI:1921664,25.42,8.81,2.84
MGI:1919421;MGI:1919421,9.03,7.86,0.98
MGI:109342;MGI:109342;MGI:109342,11.04,12.5,0.78
MGI:1918590,12.48,6.09,1.66
MGI:1914722,18.69,7.97,2.16
MGI:2675859,15.16,6.77,1.85
MGI:99951,11.2,4.8,1.78
MGI:1913765;MGI:1913765,11.42,19.54,0.65
MGI:1929285;MGI:1929285;MGI:1929285,19.22,5.62,2.89
MGI:1915223,NA,NA,NA
MGI:1913891,4.98,8.06,0.55
MGI:1933204;MGI:1933204,14.08,4.21,2.58
MGI:1915144;MGI:1915144,NA,8.32,NA
MGI:1924832,11.56,10.32,1.02
MGI:1915251,12.77,11.6,1.03
MGI:2443111,NA,14.12,NA
MGI:106292,10.3,4.73,1.71
MGI:1349410;MGI:1349410;MGI:1349410;MGI:1349410,10.81,17.31,0.67
MGI:1929722;MGI:1929722,67.76,20.72,3.72
MGI:103262;MGI:103262,26.73,8.47,2.73
MGI:1344361,13.28,11.09,1.11
MGI:2139740;MGI:2139740,9.07,9.34,0.86
MGI:1919357,8.82,5.98,1.2
MGI:1343044;MGI:1343044,11.15,6.27,1.46
MGI:1921590;MGI:1921590;MGI:1921590,4.08,11.96,0.34
MGI:1346056;MGI:1346056,19.8,9.67,1.83
MGI:2136841,13.19,4.84,2.15
MGI:1917794,21.56,11.5,1.77
MGI:1915980,NA,6.98,NA
MGI:1921407,20.24,11.19,1.67
MGI:88457,54.26,17.95,3.25
MGI:1890574;MGI:1890574,NA,NA,NA
MGI:1924290;MGI:1924290;MGI:1924290;MGI:1924290;MGI:1924290,11.84,4.26,2.21
MGI:1921446;MGI:1921446,10.2,20.08,0.57
MGI:1915058,NA,11.2,NA
MGI:2157062,7.6,7.71,0.78
MGI:1353598;MGI:1353598;MGI:1353598;MGI:1353598;MGI:1353598;MGI:1353598;MGI:1353598;MGI:1353598,14.31,4.95,2.32
MGI:1924933;MGI:1924933;MGI:1924933;MGI:1924933,9.68,5.66,1.37
MGI:2141669,11.46,7.99,1.23
MGI:1924393,4.15,6.8,0.51
MGI:1915164,7.45,6.81,0.91
MGI:1930076,26.94,11.41,1.8
MGI:1929899;MGI:1929899,2.87,14.76,0.2
MGI:1329045,9.13,7.51,1.11
MGI:1915365,9.53,5.36,1.42
MGI:104842;MGI:104842;MGI:104842,4.03,3.97,0.78
MGI:105069,NA,9.33,NA
MGI:88568;MGI:88568;MGI:88568;MGI:88568;MGI:88568,7.6,10.04,0.64
MGI:2686975,3.36,8.44,0.34
MGI:1928741;MGI:1928741,15.9,7.1,1.87
MGI:1332234,5.54,6.03,0.88
MGI:1858500;MGI:1858500,3.62,8.98,0.35
MGI:2388672,7.93,6.16,1.03
MGI:1934229;MGI:1934229;MGI:1934229;MGI:1934229;MGI:1934229;MGI:1934229,22.13,7.32,2.54
MGI:1921443,10.88,6.97,1.59
MGI:1924305,NA,NA,NA
MGI:1334446;MGI:1334446;MGI:1334446;MGI:1334446,NA,NA,NA
MGI:1917598;MGI:1917598,3.72,9.58,0.36
MGI:1926264;MGI:1926264,8.9,16.66,0.56
MGI:1919268,6.55,11.91,0.52
MGI:1921197;MGI:1921197,1.93,6.37,0.26
MGI:1916801,NA,13.18,NA
MGI:1347063;MGI:1347063,5.17,5.53,0.75
MGI:2443967;MGI:2443967,20.34,15.32,1.4
MGI:2446237,4.67,4.97,0.75
MGI:95576;MGI:95576,13.76,6.55,1.58
MGI:1914462;MGI:1914462,7.24,7.97,0.78
MGI:1917129;MGI:1917129;MGI:1917129,5.03,4.37,0.89
MGI:3588215,NA,NA,NA
MGI:1346870;MGI:1346870,7.02,9.73,0.65
MGI:2445040,NA,6.52,NA
MGI:1353510;MGI:1353510;MGI:1353510;MGI:1353510;MGI:1353510,12.35,11.48,1
MGI:1915268;MGI:1915268,7.39,8.69,0.74
MGI:99915;MGI:99915,NA,NA,NA
MGI:1196261,11.7,3.02,2.9
MGI:2385001,17.18,9.36,1.62
MGI:2140680,NA,5.01,NA
MGI:1923749;MGI:1923749,6.14,9.68,0.57
MGI:1891835;MGI:1891835;MGI:1891835;MGI:1891835;MGI:1891835;MGI:1891835;MGI:1891835,NA,NA,NA
MGI:2178076,6.07,4.76,1
MGI:2685830;MGI:2685830,NA,2.92,NA
MGI:1914295;MGI:1914295,14.2,6.13,1.88
MGI:1921599;MGI:1921599;MGI:1921599,8.57,6.12,1.14
MGI:2654705,43.67,15.69,2.86
MGI:2179327,4.72,10.36,0.41
MGI:1922250;MGI:1922250,NA,3.89,NA
MGI:3039623,NA,9.63,NA
MGI:2152819,NA,7.58,NA
MGI:1914154;MGI:1914154;MGI:1914154,5.27,17.48,0.32
MGI:98852,NA,NA,NA
MGI:894694;MGI:894694;MGI:894694,NA,17.17,NA
MGI:2685277;MGI:2685277;MGI:2685277,4.63,7.05,0.49
MGI:1890563,4.02,11.39,0.4
MGI:1925771,18.65,5.94,2.6
MGI:1206040,10.09,8.37,1.04
MGI:2449316,4.29,19.88,0.24
MGI:1921566,8.05,3.96,1.57
MGI:95558,NA,NA,NA
MGI:2137379;MGI:2137379;MGI:2137379,22.69,9.64,2.1
MGI:1916087;MGI:1916087,NA,11.49,NA
MGI:106484;MGI:106484;MGI:106484;MGI:106484,1.5,6.55,0.21
MGI:1349438;MGI:1349438;MGI:1349438;MGI:1349438;MGI:1349438;MGI:1349438,49.7,29.9,2.5
MGI:1925230;MGI:1925230,NA,16.13,NA
MGI:2144305,8.84,4.78,2.3
MGI:102744;MGI:102744,22.89,13.07,1.69
MGI:102705,NA,NA,NA
MGI:104596;MGI:104596;MGI:104596;MGI:104596,19.04,12.09,1.49
MGI:1922139,4.24,11.32,0.35
MGI:1921435,5.47,14.53,0.38
MGI:1913922;MGI:1913922,7.97,8.33,0.82
MGI:1914302,7.87,10.26,0.71
MGI:1919936,9.9,10.33,0.87
MGI:1923387;MGI:1923387,5.96,8.06,0.63
MGI:98483;MGI:98483;MGI:98483,6.44,11.74,0.52
MGI:2442366,22.61,4.34,4.04
MGI:2445214;MGI:2445214,5.13,3.31,1.26
MGI:98864;MGI:98864;MGI:98864,NA,NA,NA
MGI:2142292,8.77,7,0.99
MGI:1933107,NA,8.77,NA
MGI:2384849,23.71,6.54,2.98
MGI:109404,26.97,5.53,3.42
MGI:1914134,24.07,4.82,3.67
MGI:104785;MGI:104785;MGI:104785;MGI:104785,1.31,14.78,0.08
MGI:1919815;MGI:1919815;MGI:1919815;MGI:1919815,20.4,13.77,1.47
MGI:1923616,NA,5.72,NA
MGI:1916219,NA,4.95,NA
MGI:1860236;MGI:1860236;MGI:1860236;MGI:1860236;MGI:1860236;MGI:1860236,14.53,9.93,1.31
MGI:1921075;MGI:1921075;MGI:1921075,NA,11.96,NA
MGI:3036255,7.49,10.25,0.66
MGI:103188;MGI:103188;MGI:103188,9.11,7.52,1.02
MGI:1919908;MGI:1919908,4.3,4.81,0.71
MGI:1328317,9.59,5.35,1.43
MGI:1932139;MGI:1932139,25.14,8.48,2.56
MGI:2444304;MGI:2444304,4.86,15.93,0.37
MGI:1915597,9.61,7.92,1.03
MGI:1914306;MGI:1914306,17.51,12.7,1.55
MGI:98444,19.67,5.61,3.59
MGI:1914389,16.77,3,4.19
MGI:109533;MGI:109533,4.96,12.51,0.52
MGI:88259;MGI:88259;MGI:88259,8.18,5.65,1.16
,NA,NA,NA
MGI:1100877;MGI:1100877,68.74,10.13,5.44
MGI:102676,39.99,13.65,2.87
MGI:1923539;MGI:1923539;MGI:1923539,4.19,20.65,0.24
MGI:1913450,6.97,5.31,1.05
MGI:1328310;MGI:1328310,31.81,20.58,1.76
,NA,NA,NA
MGI:107371;MGI:107371,9.19,5.87,1.26
MGI:1916295,15.41,12.5,1.59
MGI:1917489;MGI:1917489,11.17,7.12,1.31
MGI:1354951,3.22,13.52,0.23
,11.86,12.57,0.91
MGI:1858901;MGI:1858901,17.97,9.28,1.71
MGI:2441730,4.02,6.74,0.49
MGI:1914124;MGI:1914124,3.71,8.95,0.39
MGI:1926252,9.35,10.58,0.8
MGI:2683592,10.16,6.83,1.24
MGI:1919579;MGI:1919579,4.8,3.28,1.1
MGI:1915035;MGI:1915035,6.43,8.46,0.73
MGI:2136405;MGI:2136405,16.52,6.82,2.01
MGI:1920475;MGI:1920475,11.06,4.48,1.92
MGI:107953;MGI:107953,7.91,9.25,0.85
MGI:1920944;MGI:1920944,5.04,10.05,0.45
MGI:1915512,13.02,12.07,0.89
MGI:88141,17.24,11.07,1.44
MGI:2183102;MGI:2183102,16.49,21.05,0.9
MGI:1915264,5.62,5.14,1.1
MGI:1931797,16.29,6.87,1.97
MGI:2145645;MGI:2145645,8.39,10.24,0.74
MGI:1929459,10.46,3.57,2.23
,NA,NA,NA
MGI:106613;MGI:106613,15.16,6.5,1.92
MGI:1913336,14.24,5.98,2.03
MGI:1890480,27.01,12.29,1.42
MGI:2387633;MGI:2387633,12.61,2.86,4.34
MGI:1919210;MGI:1919210;MGI:1919210,NA,NA,NA
MGI:2384831,14.08,11.67,1.13
MGI:1917799;MGI:1917799;MGI:1917799,5.98,25.88,0.29
MGI:2684984;MGI:2684984,9.71,7.33,1.07
MGI:107202,6.94,14.73,0.48
MGI:1915166,11.32,4.5,1.17
MGI:1915401;MGI:1915401;MGI:1915401,NA,12.47,NA
MGI:2442050,13.68,8.52,1.51
MGI:1888526,9.54,6.39,1.22
MGI:1923257,3.05,4.23,0.69
MGI:2145953,39.92,8.29,4.15
MGI:1351663;MGI:1351663,14.47,2.82,3.83
MGI:1919563;MGI:1919563,5.72,10.77,0.49
MGI:1921494,5.8,17.16,0.36
MGI:1925939,16.14,11.31,1.32
MGI:1919334;MGI:1919334,8.91,13.05,0.66
MGI:1915651,3.28,9.81,0.3
MGI:96067;MGI:96067,7.6,13.16,0.57
MGI:104728,11.18,2.93,2.85
MGI:1914491,12.88,11.02,1.08
MGI:1923858,4.09,17.33,0.25
MGI:1276535;MGI:1276535,6.97,7.45,0.79
MGI:1328363;MGI:1328363,NA,1.74,NA
MGI:1920243,3.28,10.23,0.29
MGI:2387586;MGI:2387586;MGI:2387586;MGI:2387586,NA,7.23,NA
MGI:2384784;MGI:2384784;MGI:2384784,152.93,17.85,9.2
MGI:1914269,2.49,5.48,0.37
MGI:109564,NA,NA,NA
MGI:2141070,NA,11.57,NA
MGI:2385186;MGI:2385186,8.26,10.12,0.74
MGI:1344353,8.87,6.14,1.17
,NA,NA,NA
,NA,5.55,NA
MGI:1921625,4.07,3.97,0.79
MGI:1914886,NA,6.75,NA
MGI:1914831;MGI:1914831,5.75,7.34,0.66
MGI:1924161;MGI:1924161,NA,4.54,NA
MGI:103027;MGI:103027,NA,8.91,NA
MGI:2442815;MGI:2442815;MGI:2442815,4.06,4.56,1.06
MGI:1922004,27.37,14.69,1.87
MGI:1928097,NA,13.44,NA
MGI:1341264;MGI:1341264,11.77,7.04,1.39
MGI:1918110;MGI:1918110,12.03,6.38,1.55
MGI:101900;MGI:101900,27.89,9.08,2.71
MGI:1344388,5.16,8.73,0.51
MGI:97583;MGI:97583;MGI:97583,9.51,3.91,2.1
MGI:104778;MGI:104778,9.5,10.17,0.84
MGI:1343133;MGI:1343133,40.79,11.41,4.04
MGI:1913908;MGI:1913908,1.53,4.8,0.25
MGI:1924034;MGI:1924034;MGI:1924034;MGI:1924034;MGI:1924034,5.41,7.13,0.64
MGI:1916996;MGI:1916996,11.21,11.77,0.92
MGI:109383,3.72,6.4,0.48
MGI:2444207;MGI:2444207;MGI:2444207;MGI:2444207,2.89,18.04,0.16
MGI:1919742,14.31,7.23,1.66
MGI:87918;MGI:87918,16.59,15.88,1.08
MGI:1351661,10.24,10.6,0.88
,NA,NA,NA
MGI:1333752;MGI:1333752,5.48,11.1,0.46
MGI:104889;MGI:104889,16.96,5.75,2.38
MGI:2152450;MGI:2152450,13.1,5.82,1.82
MGI:1194921;MGI:1194921;MGI:1194921,9.71,6.37,1.25
MGI:106662;MGI:106662;MGI:106662,7.15,15.54,0.47
MGI:2443750,8.08,12.99,0.6
MGI:2675856,61.4,6.27,8.02
MGI:2443030;MGI:2443030,8.6,9.92,0.78
MGI:2140839,17.7,4.44,3.13
MGI:1858896,4.54,6.74,0.56
MGI:1918427,NA,12.3,NA
MGI:1918711,10.18,20.89,0.56
MGI:107929;MGI:107929;MGI:107929,20.47,4.16,3.58
MGI:1351638,13.71,13.38,1
MGI:1891396;MGI:1891396,50.38,12.2,3.91
MGI:1919598,NA,NA,NA
MGI:107935,39.02,6.76,4.77
MGI:1913748,13.38,9.46,1.25
MGI:2386711,5.14,9.46,0.52
MGI:1913976;MGI:1913976,16.11,8.39,1.67
MGI:97822;MGI:97822,7.06,16.36,0.45
MGI:2387639;MGI:2387639;MGI:2387639,3.53,15.82,0.22
MGI:1333766;MGI:1333766;MGI:1333766;MGI:1333766,10.6,5.44,1.56
MGI:1924282,3.87,6.88,0.47
MGI:1914736;MGI:1914736,4.26,5.41,0.63
MGI:87882;MGI:87882,8.68,10.42,0.76
MGI:1917680,8.03,3.42,1.78
MGI:101836;MGI:101836;MGI:101836,12.13,6.7,1.51
MGI:104626;MGI:104626,1.27,23.35,0.08
MGI:1354724;MGI:1354724;MGI:1354724,NA,NA,NA
MGI:2387194;MGI:2387194;MGI:2387194,3.59,6.8,0.44
MGI:2386306,NA,NA,NA
MGI:2429765;MGI:2429765,8.5,14.46,0.59
MGI:1924337,NA,6.49,NA
MGI:99781;MGI:99781;MGI:99781,33.19,13.49,2.41
MGI:1917205;MGI:1917205,3.92,18.22,0.25
MGI:95401;MGI:95401;MGI:95401;MGI:95401;MGI:95401;MGI:95401;MGI:95401;MGI:95401;MGI:95401,8.05,14.26,0.56
MGI:106485,12.76,9.85,1.38
MGI:1336169,31.49,12.45,2.41
MGI:2147003;MGI:2147003;MGI:2147003,7.75,4.72,1.29
MGI:2445220;MGI:2445220;MGI:2445220;MGI:2445220,8.59,6.47,1.09
MGI:99484;MGI:99484;MGI:99484,13.36,6.19,1.76
MGI:1342770;MGI:1342770,12.85,8.54,1.3
MGI:1924258;MGI:1924258,16.39,7.4,1.86
MGI:1891691;MGI:1891691,15.69,14.18,1.1
MGI:1929004,6.47,7.04,0.77
,NA,NA,NA
MGI:1917029;MGI:1917029,NA,8.91,NA
MGI:2443267;MGI:2443267;MGI:2443267;MGI:2443267,5.84,5.47,0.85
MGI:2449939,NA,4.57,NA
MGI:1914233,4.42,4.75,0.73
MGI:1347093;MGI:1347093;MGI:1347093;MGI:1347093,14.26,12.76,1.07
MGI:1922014;MGI:1922014,2.77,15.21,0.19
MGI:2142227;MGI:2142227,25.53,9.39,2.43
MGI:2180203,NA,NA,NA
